subId,subjectName,subjectType,subName
201,Discrete and Integrated Electronic Circuits,Theory,DIE
202,Systems Lab-UNIX,Lab,SLab-Unix
203,Power Quality,Elective,EE465
204,PC Hardware ,Theory,PCH
205,Soft Skill,Theory,SOS
206,Aptitude,Theory,APT
207,Value for Life,Theory,Value for Life
208,Report Writing,Lab,RPW
209,CALCULUS,Theory,MA
210,Engineering Chemistry,Theory,CY100
211,INTRODUCTION TO MECHANICAL ENGINEERING,Theory,IME
212,Basics of Electrical Engineering,Theory,EE100
213,VALUE EDUCATION,Theory,VE
214,Basics of Electronics Engineering,Theory,EC100
215,INTRODUCTION TO CIVIL ENGINEERING,Theory,ICE
216,Introduction to computing and problem solving,Theory,ICS
217,Engineering Physics,Theory,PH100
218,Engineering Mechanics,Theory,BE100
219,INTRODUCTION TO ELECTRONICS ENGINEERING,Theory,IEC
220,Basics of Mechanical Engineering,Theory,ME100
221,MICRO PROJECT,Lab,MICRO PROJECT
222,INTRODUCTION TO ELECTRICAL ENGINEERING ,Theory,IEE
223,C-E WORKSHOP,Lab,EWS
224,Mechanical Engineering Workshop,Lab,ME110
225,Civil Engineering Workshop,Lab,CE110
226,Physics-Electrical lab,Lab,PE Lab
227,Chemical worshop,Lab,CW
228,Library,Lab,Library
229,Engineering Chemistry Lab,Lab,CY110
230,Computer Science Workshop,Lab,CSWorkshop
231,Basic electronics workshop,Lab,ECWorkshop
232,Mathematical Foundations of Computer Science,Theory,INMCA103
233,Statistics I,Theory,Stat I
234,Integrated Circuites & PC Hardware,Theory,IC & PCH
235,Library,Theory,LIB
236,EL-Physics Lab,Lab,EL/Physics Lab
237,Programming methodology & C Programming,Theory,PM & CP
238,C Lab,Lab,CLAB
239,PC hardware Lab,Lab,INMCA133
240,Computer Organization and Architecture,Theory,EE363
241,Principles of Management and Accounting ,Theory,PMA
242,Structured  Programming in C ,Theory,C
243,Java and Web Programming,Theory,JWP
244,System Software,Theory,CS303
245,Software Engineering,Theory,RLMCA203
246,Java Programming Lab,Lab,Java Lab
247,Engineering Physics Lab,Theory,PH110
248,MM LAb,Lab,MM LAb
249,Basic Electronics Workshop,Lab,BEW
250,ANALYTICAL FOUNDATION FOR COMMUNICATION ENGINEERING,Theory,AFCE
251,ADVANCED DIGITAL COMMUNICATION TECHNIQUES,Theory,ADCT
252,ALGEBRAIC CODING THEORY,Theory,ACT
253,HIGH FREQUENCY CIRCUIT DESIGN,Theory,HFCD
254,SIGNAL PROCESSING FOR SPEECH AND IMAGE,Theory,SPFS
255,Research Methodology,Theory,04GN6001
256,Seminar,Lab,RLMCA341
257,Communication Engineering Lab 1,Lab,04EC6393
258,Optimization Techniques for Engineering Applications,Theory,04EE6001
259,NonConventional Energy Sources,Theory,MCES
260,Energy Resources Economics & Enviornment,Theory,EREE
261,Power Electronic Circuits,Theory,04EE6303
262,Industrial Thermal Systems,Theory,04EE6505
263,Energy Systems Lab,Lab,ES LAB
264,Power Electronic Devices & Circuits,Theory,04EE6301
265,Computer Application in PowerSystems,Theory,CAPS
266,Power System Operation and  Control,Theory,PSOC
267,Elective I- Electric Drives & Systems,Theory,EDS
268,"Power System Simulation laboratory	",Lab,PSS LAB
269,Mathematical Methods,Theory,MM
270,Introduction to Nanotechnology,Theory,INT
271,Physics of Nanomaterials,Theory,PN
272,Engineering Principles for Nanotechnology,Theory,PNT
273,Elective 1-Carbon Nanomaterial Science and Technology,Theory,CNST
274,Nanotechnology. Lab,Lab,Nanotechnology. Lab
275,Electronics Engg Lab,Lab,E110
276,Advanced Engineering Mathematics,Theory,04ME6501
277,Theory of Vibrations(TOV),Theory,ME374
